,Filename,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,Largest Included Sphere,Largest Free Sphere,Included Sphere Along Free Sphere Path
6739,xoxmed_P1_H,4875.19,1869.49,3367.75,14.04836,12.0603,13.54575
6740,xoxtiq_P1_H,394.7,1608.92,1471.46,6.11669,2.84582,6.05652
6741,xoxtow_P1,2403.3,2275.96,2352.81,10.35383,5.47808,6.30994
6742,xoxtuc_P1,1481.29,1394.3,1450.17,10.25876,5.58219,6.3702
6743,xozgif_P1,3414.79,1987.31,1624.59,10.72665,5.71453,10.72665
6751,xudnan_P1,715.788,1744.1,1586.03,6.40635,3.53846,5.71967
6752,xudpix_P1_H,9937.15,2600.8,4401.29,9.52909,6.9563,9.43816
6754,xudyec_P1,444.287,1175.27,860.448,6.34584,4.93965,6.34584
6755,xudyom_P1_charged_H,496.574,1008.73,573.434,5.70364,5.48701,5.65334
6760,xuggak_P1,227.353,1533.14,934.004,4.6811,3.22535,4.67344
6761,xugroi_P1_H,1551.8,2723.34,3255.56,6.64754,4.43824,5.16805
6763,xujney_P1_charged,5434.27,2350.77,3742.44,10.78808,6.25621,10.76921
6764,xujveg_P1_charged,377.627,1542.27,1089.92,5.59567,3.76872,5.59187
6766,xuknic_P1,1414.74,2532.9,2371.78,6.26522,4.77555,5.72752
6768,xulgui_P1,152.629,1014.66,692.162,5.19956,3.31728,5.19441
6772,xummez_P1_charged,184.948,827.896,634.647,5.75657,4.49049,5.703
6773,xummoj_P1_charged,70.149,292.921,192.067,3.67807,3.2498,3.67807
6774,xumnea_P1,388.402,861.316,706.895,5.24244,3.69297,5.22761
6777,xungix_P1,3335.46,2350.67,3251.63,8.23089,4.8871,8.22584
6778,xunhaq_P1,128.505,1515.92,1499.24,4.44876,3.93458,4.42627
6779,xunjew_P1,857.028,1669.89,1238.41,7.72405,4.21286,7.71856
6780,xunrop_P1,117.493,1432.62,1370.77,5.082,3.77684,5.07358
6781,xunsac_P1,215.242,1318.94,1255.6,4.78336,3.78154,4.77852
